iter	Logloss
0	0.678445147
1	0.665117665
2	0.6526376265
3	0.641718328
4	0.6317736796
5	0.6224779448
6	0.6144084254
7	0.6071442057
8	0.6001401052
9	0.5941582827
10	0.5881080223
11	0.5827609248
12	0.5776620626
13	0.5728848631
14	0.5688720787
15	0.5645819186
16	0.560995435
17	0.5574382942
18	0.5540423758
19	0.5510019006
20	0.5482749454
21	0.5458075547
22	0.5426834218
23	0.5398106687
24	0.5369001982
25	0.534505956
26	0.5321919077
27	0.5297853469
28	0.5276227702
29	0.5253421716
30	0.5233020351
31	0.5214120061
32	0.5194920528
33	0.5176362601
34	0.5158061981
35	0.5140622537
36	0.5123991928
37	0.5104831572
38	0.5083542705
39	0.5067914201
40	0.5052734107
41	0.5037394096
42	0.5023503915
43	0.500672743
44	0.4992994699
45	0.497927907
46	0.496434451
47	0.4950149561
48	0.4937893334
49	0.4924000177
50	0.4909441223
51	0.489623463
52	0.4885083732
53	0.4873145877
54	0.4861018215
55	0.4848085643
56	0.4837244469
57	0.4824251119
58	0.4813647429
59	0.4801693199
60	0.4790791211
61	0.478146977
62	0.4770538847
63	0.4759408154
64	0.4749062687
65	0.4737371417
66	0.4728197624
67	0.4718140366
68	0.4709291569
69	0.4699348242
70	0.4688880273
71	0.4679276876
72	0.4668763728
73	0.465848151
74	0.4648233588
75	0.4640036595
76	0.4631997919
77	0.4622781982
78	0.461462718
79	0.4606351391
80	0.4597323271
81	0.4590206737
82	0.4582471735
83	0.4573653998
84	0.4566213959
85	0.4559180575
86	0.4550888607
87	0.4543285067
88	0.4535802004
89	0.4528593406
90	0.4521255363
91	0.4513431261
92	0.4506076722
93	0.4497216767
94	0.4490394969
95	0.4482344218
96	0.4475739945
97	0.446916433
98	0.4462041362
99	0.4455226216
100	0.4448279263
101	0.4440166569
102	0.4433585503
103	0.442686243
104	0.4420336652
105	0.4412928761
106	0.4408011334
107	0.4400491038
108	0.4393936532
109	0.4387021355
110	0.4380798641
111	0.4374303964
112	0.4368033832
113	0.4362378374
114	0.4356348455
115	0.4351073821
116	0.4345832172
117	0.4340784311
118	0.433495021
119	0.4328681983
120	0.4322812894
121	0.4317050608
122	0.4311370457
123	0.4305379905
124	0.4299858401
125	0.4294077671
126	0.4289161033
127	0.4283737052
128	0.4278079978
129	0.4272851055
130	0.4267382954
131	0.4262062331
